kind	repository_path	local_name	size_bytes	identity_type	identity	sha256	url
exr	ScanLines/Blobbies.exr	Blobbies.exr	6109568	git_blob_sha1	3b5fb3149d98bad6d3d12991811d091cbdae309e	c46dd0147e027ca2885fc75a7acb773759b900945ecafe998edb8319cdfb3278	https://raw.githubusercontent.com/AcademySoftwareFoundation/openexr-images/main/ScanLines/Blobbies.exr
exr	ScanLines/CandleGlass.exr	CandleGlass.exr	2629900	git_blob_sha1	55714cb1dc9d51ff37501aad813c53f70d79ae54	d84ec54c56a9f3a04cc35ef35097086f3531a511c750b2f78ad5501fb5cca4bf	https://raw.githubusercontent.com/AcademySoftwareFoundation/openexr-images/main/ScanLines/CandleGlass.exr
exr	ScanLines/Carrots.exr	Carrots.exr	914825	git_blob_sha1	b4697022c7120065b1d6131b20da363a8ff88069	892d9eb1d2b22a3c7c57d22fa60c33aaa4a49ba3ead5304ec594b274aa39e4e1	https://raw.githubusercontent.com/AcademySoftwareFoundation/openexr-images/main/ScanLines/Carrots.exr
exr	ScanLines/Desk.exr	Desk.exr	2424523	git_blob_sha1	d6ed3923c15864b470cc3ea59d0c8ea271dad571	2734d15e1ce157f73feaae5033b148bdabc98acb3084e9d892c6b01f23c24854	https://raw.githubusercontent.com/AcademySoftwareFoundation/openexr-images/main/ScanLines/Desk.exr
exr	ScanLines/MtTamWest.exr	MtTamWest.exr	3323365	git_blob_sha1	632b2758a21ecf88d8831689356c70671031958c	95731ce474982e74e154e96a6d74afb1ba0da851b673bff592fa977f87adaae5	https://raw.githubusercontent.com/AcademySoftwareFoundation/openexr-images/main/ScanLines/MtTamWest.exr
exr	ScanLines/PrismsLenses.exr	PrismsLenses.exr	4380714	git_blob_sha1	1f0e4922d71683c0f7a8a09b8e760aeec2e3014a	481f9e83a9671ae3452355d8116ee202f69e539cd6cbf45d114faee47e634f18	https://raw.githubusercontent.com/AcademySoftwareFoundation/openexr-images/main/ScanLines/PrismsLenses.exr
exr	ScanLines/StillLife.exr	StillLife.exr	3783165	git_blob_sha1	68e8dff85ae273a196bc63907f9a59fd07166a01	86a04a36ec10983780d47ae33b2fba0dde269dd687bf53decf5ec0a726e50756	https://raw.githubusercontent.com/AcademySoftwareFoundation/openexr-images/main/ScanLines/StillLife.exr
exr	ScanLines/Tree.exr	Tree.exr	3716423	git_blob_sha1	ec501dffef18fce8837d74918f949678aeedc861	8397741de996ab16ab94005fd0f0327bd29ab448163160a608c0b26e26864712	https://raw.githubusercontent.com/AcademySoftwareFoundation/openexr-images/main/ScanLines/Tree.exr
license	LICENSE	LICENSE.openexr-images	1697	git_blob_sha1	268d234adc762429a5d7db6a456651d7d0933dd1	e09f669c94b61172cd355c36b8737721df12eb4e4fa570600ac1955c9686327f	https://raw.githubusercontent.com/AcademySoftwareFoundation/openexr-images/main/LICENSE
provenance	ScanLines/README.rst	README.ScanLines.rst	690	git_blob_sha1	ed0909aaf5930b39179afae905e93e15cccb284a	8a78458080fb9bba249c3443a6e7a38ad22422ee75096680c11f9a7f09989b05	https://raw.githubusercontent.com/AcademySoftwareFoundation/openexr-images/main/ScanLines/README.rst
tool	tinyexr/v1.0.12/tinyexr.h	tinyexr.h	299406	sha256	e3eb50490af81dc3f5f067cf7f62955894d5db8f88a091c19bc4eef8e468095f	e3eb50490af81dc3f5f067cf7f62955894d5db8f88a091c19bc4eef8e468095f	https://raw.githubusercontent.com/syoyo/tinyexr/v1.0.12/tinyexr.h
