selection_ordinal	filename	url	x_offset	y_offset	source_x_size	source_y_size	source_data_type	decoded_bytes	source_bytes	sha256
1	tileSG-000-048_4-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-000-048/tileSG-000-048_4-1.tif	86049	391	450	450	Int16	405000	406513	f46607f729fb52003fb272284b6efb6f29ae784cf682babd311791e85c560b4c
2	tileSG-001-051_1-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-001-051/tileSG-001-051_1-1.tif	91449	841	450	450	Int16	405000	406513	bd4cb22a49895d00dd3ff5b1d2f72d492d1298028413dac555ed9e1c6ecb1bf0
3	tileSG-001-018_2-3.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-001-018/tileSG-001-018_2-3.tif	32949	1291	450	450	Int16	405000	406513	23bc0b0a3fc1906fb8d8cdd5627500f7e1b06c36607594ef6190cfd20eb98c5d
4	tileSG-001-022_2-3.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-001-022/tileSG-001-022_2-3.tif	40149	1291	450	450	Int16	405000	406513	aa36866c4bd7206c007feeb335b3f7f40775e27d29bb52a62320a89b32b26560
5	tileSG-001-054_3-3.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-001-054/tileSG-001-054_3-3.tif	97749	1741	450	450	Int16	405000	406513	b424c658aa70aca38c2983c7f1c8f3f552103c6d18e324a323f04a063dfe02fe
6	tileSG-001-058_3-2.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-001-058/tileSG-001-058_3-2.tif	104499	1741	450	450	Int16	405000	406513	4cbbe435bf30321cb4726cdf3b21b81d350e4097c0d088613c897f4e75e44b4d
7	tileSG-002-061_1-3.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-002-061/tileSG-002-061_1-3.tif	110349	2641	450	450	Int16	405000	406513	5523d60a95fccaa383e21acfc82266cbfefb121429c7c511bdbc724fb05a3e16
8	tileSG-002-020_2-2.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-002-020/tileSG-002-020_2-2.tif	36099	3091	450	450	Int16	405000	406513	ccfc311c7400debe1fae9f1f6a3ade96ca949b80af13ef564fba73880183badc
9	tileSG-002-024_2-4.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-002-024/tileSG-002-024_2-4.tif	44199	3091	450	450	Int16	405000	406513	7b93638d5b4ad69fdc44810a891699a029e707d65a43ae77ab8a21f5e3880ca4
10	tileSG-002-016_3-3.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-002-016/tileSG-002-016_3-3.tif	29349	3541	450	450	Int16	405000	406513	a784d6493616b8def922531e621110028afa4454e5c46effb01603dc6bef8b06
