object_id	channel	width	height	value_count	sha256
678013	red	3923	3067	12031841	0595819472c44b0c4dbea5d732a2d08f5205fba2a69c382eca5d00036cdd9f12
678013	green	3923	3067	12031841	320ecd15e215b4e353fa88152b489f0b40b0a57633ea894818cd1960acfc1b90
678013	blue	3923	3067	12031841	6044c371c4b5fdff658d3f7826352d33ffeb077f58e4436bfa33834ed717ed57
438490	red	2675	3722	9956350	dc6181f6823732a8e19df705ce470098fff10605b76cafdd7776c1b3b032fd44
438490	green	2675	3722	9956350	069101426ce3b15daccda214a9de53cafdffd8029a2f70ed3861ace9c5b293fc
438490	blue	2675	3722	9956350	962f49cdae3bc926b1522c3f30b4b22f9c6b1058a8232b512c3e393f597f1cb2
436175	red	4000	3021	12084000	3ef4e3860182d9ff8211885a68f456887c0eeb8ffaa03ed5a0446ccd737dc071
436175	green	4000	3021	12084000	4de531eb82f23baf37e90ab31031f3ada04e63443b8180b8e93449586b6d9bce
436175	blue	4000	3021	12084000	0768721fab7206bbfa291dc5d78380a1b8b4850d732e790879ee2a93295517e3
438816	red	4000	2504	10016000	53b1e3190ba1d9c57000fc739b299cd479cfa71b32f00761f4281cde88355754
438816	green	4000	2504	10016000	b87ce63a23baedeb562103645fdc586f7a2ff7b76b8e102ef5199a4df0be40f7
438816	blue	4000	2504	10016000	525c40f70ee21980799c04b4fbe784175943daaf31d3de519996ea0ff536f84b
437313	red	3811	3049	11619739	0fd70491e996a3f4f06fe0a6b09a3efdf03f03437be2ee6a57ff2a5bce8de0e6
437313	green	3811	3049	11619739	14fb89c99bfff46031ecf9a307e9eaa79ea22da217846b37adea66306a7a1852
437313	blue	3811	3049	11619739	7a6bd1c801fcdb84424606f973bc081efbd9617de3eb381dce31c296ebf71539
437323	red	3811	2513	9577043	c83925074429aca9673a986be2a90622a1b8addb6fa181eecbd33badbf737327
437323	green	3811	2513	9577043	94012b56c42a1962b7062276e98f0fa2acca0179f02cdc39d95ea3dc782b25c2
437323	blue	3811	2513	9577043	d139438bd67ea96910e412c3dc44fb245b49829f1677d9a03cdf0e033fb63ba5
437631	red	4000	2449	9796000	2b5262a99f2b3c7e924f9b1eb05a61dde388b2d25a7d9db524df92d797a5b52e
437631	green	4000	2449	9796000	9176f40f6417e062abd712e84d5ea950d1d8d8abbe911bfaf2096ddeae726c08
437631	blue	4000	2449	9796000	a5a7ab3cce763944ec63ac893897f838b48581a18be5e78cc587703282359a02
437854	red	3958	2967	11743386	907207eb6c6f787a161d42202c27a9123570ab9fccb637831e5741dcee263ed2
437854	green	3958	2967	11743386	063039643059ef332adadadcbbc13c06e519dec8ab9a5bd6de987d46178fd4d7
437854	blue	3958	2967	11743386	2f9aa6fcda61738da96a73a260401d8494a8aa4ed2147a636ed9d056625ca327
437686	red	4000	3314	13256000	0b3e074842b6d6827949b2beafa436845c6ecd7e9e89338b140712331d698c48
437686	green	4000	3314	13256000	be36f42f52ede3bd1d061e6a88ef6ddebde8d962e39c4b142d05c4d08dae978e
437686	blue	4000	3314	13256000	a67f3ca8891d6935abf689fcd835e737da3b82f70c94d3624b3b4fa94eb5344e
435904	red	3811	2569	9790459	49ece2002fdee89c96b7fa3793bcbc6d0494034b1ee99731ddda4a783234a912
435904	green	3811	2569	9790459	7d0f72fb482d8642a0406178dabfa3f72ade258bc7522ce58103cc9eef3cdf28
435904	blue	3811	2569	9790459	a7191bc2c7e83f2a45526d8539a075030f6ffe3039d723896fbc41ca5ed884c3
