topic	object_id	image_name	width	height	size_bytes	sha256	primary_image_url	object_url
animals	678013	678013.jpg	3923	3067	3911024	766068db4c8353279c551764fd29ce877ff8566f89d9d31de2abee1a6dd51438	https://images.metmuseum.org/CRDImages/ep/original/DP348637.jpg	https://www.metmuseum.org/art/collection/search/678013
architecture	438490	438490.jpg	2675	3722	2180339	32679b69dd0d9c429442fb0d6a15edd406e50c485d5b510d7b5cafcd3a285001	https://images.metmuseum.org/CRDImages/ep/original/DP145954.jpg	https://www.metmuseum.org/art/collection/search/438490
flowers	436175	436175.jpg	4000	3021	4124042	b5bee28023873dab9aaa12e464492a5cea4b0b8c26e13337d48e84e1e4a73969	https://images.metmuseum.org/CRDImages/ep/original/DP-14347-001.jpg	https://www.metmuseum.org/art/collection/search/436175
forest	438816	438816.jpg	4000	2504	3189948	a05e69a0fb0796b5aa990634127f5390db876b4b6fb300e0f51d4b748521aab4	https://images.metmuseum.org/CRDImages/ep/original/DP-31520-001.jpg	https://www.metmuseum.org/art/collection/search/438816
garden	437313	437313.jpg	3811	3049	3166048	14cb35d3ff83c89e0b404f137aaba073e1315aaaaacf6c5e4776739a6e495b30	https://images.metmuseum.org/CRDImages/ep/original/DT1042.jpg	https://www.metmuseum.org/art/collection/search/437313
landscape	437323	437323.jpg	3811	2513	2073606	adc1229d6c7f9212e4174dafe026877e9e75b5c6817a64c4b44ece2dce75200e	https://images.metmuseum.org/CRDImages/ep/original/DP145952.jpg	https://www.metmuseum.org/art/collection/search/437323
night	437631	437631.jpg	4000	2449	3380511	a7c56529494020b06bdd92284a65d035075a8b795a31b6396dc9f485a1f6265d	https://images.metmuseum.org/CRDImages/ep/original/DP-23542-001.jpg	https://www.metmuseum.org/art/collection/search/437631
seascape	437854	437854.jpg	3958	2967	4022975	13f84a78383b67b2841acc5f894598fd9131467458d126e86c886b61721d139b	https://images.metmuseum.org/CRDImages/ep/original/DP-13360-001.jpg	https://www.metmuseum.org/art/collection/search/437854
snow	437686	437686.jpg	4000	3314	5309501	2942f55aa16c79889fdf08412f41f010f9e55bce62bad0d887ed70c58f81db29	https://images.metmuseum.org/CRDImages/ep/original/DP-33708-001.jpg	https://www.metmuseum.org/art/collection/search/437686
still-life	435904	435904.jpg	3811	2569	1867831	344e95e1c3aa552d46c615df4b7cef37f3aea471e2e0444ddb25c79d0eacbfb9	https://images.metmuseum.org/CRDImages/ep/original/DP145929.jpg	https://www.metmuseum.org/art/collection/search/435904
