month	obs_id	filename	bytes	sha256	url
2017_06	0020020105	ni0020020105_0mpu7_cl.evt.gz	8189	6996f2c282fd4c95ee3ec64b048f302e526f0f3f2a610e25ab35e605c2dd14ea	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0020020105/xti/event_cl/ni0020020105_0mpu7_cl.evt.gz
2017_06	0020260102	ni0020260102_0mpu7_cl.evt.gz	8223	e5c0550597061cd6ecc42b3e0eba8a831d16338040d0cfcd14b9bb3f2f7c7934	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0020260102/xti/event_cl/ni0020260102_0mpu7_cl.evt.gz
2017_06	0010230105	ni0010230105_0mpu7_cl.evt.gz	8614	be053f9e9aa89b1fdfd2524476fb69a2803bdef333ef89e224b585bf308b505a	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0010230105/xti/event_cl/ni0010230105_0mpu7_cl.evt.gz
2017_06	0012010104	ni0012010104_0mpu7_cl.evt.gz	9808	5c789b6124e801e2d68718b3d92d9c79a379a791e8cac71a1f89b69fd63a1d90	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0012010104/xti/event_cl/ni0012010104_0mpu7_cl.evt.gz
2017_06	0020420107	ni0020420107_0mpu7_cl.evt.gz	20228	ca27b5c4acc8f09b000ffeec09663044f62a00731936a0e0b4c584df55095b83	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0020420107/xti/event_cl/ni0020420107_0mpu7_cl.evt.gz
2017_06	0020020107	ni0020020107_0mpu7_cl.evt.gz	39405	0b0d0ecfc6cea15b51e74be8a1121ff627269f584e1c30e9a02fea9369051c5d	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0020020107/xti/event_cl/ni0020020107_0mpu7_cl.evt.gz
2017_06	0020420105	ni0020420105_0mpu7_cl.evt.gz	45101	d9ce83ed6b6d80cf22cae661734169415c6fb0c89dcc52a1976092a27378cbde	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0020420105/xti/event_cl/ni0020420105_0mpu7_cl.evt.gz
2017_06	0012050105	ni0012050105_0mpu7_cl.evt.gz	46969	a9137e6e901a996f31e6df60ea710ebb2b92d227950b29d574a7a1e4e3ab5b04	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0012050105/xti/event_cl/ni0012050105_0mpu7_cl.evt.gz
2017_06	0020100104	ni0020100104_0mpu7_cl.evt.gz	88093	8c4b0eb57ade9829124c18b8ec078c266f543df16bf94a91bcffd1abdab05570	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0020100104/xti/event_cl/ni0020100104_0mpu7_cl.evt.gz
2017_06	0020260103	ni0020260103_0mpu7_cl.evt.gz	90592	c6393768d3fd845046bdb0b56c26e635af57c4a653b94d1ceda21a9be0c84fab	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0020260103/xti/event_cl/ni0020260103_0mpu7_cl.evt.gz
2017_06	0010120101	ni0010120101_0mpu7_cl.evt.gz	118671	2737501dbbd0e98842a02317a44c891eb4020e852b2c299866ac99769db010a9	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0010120101/xti/event_cl/ni0010120101_0mpu7_cl.evt.gz
2017_06	0020020106	ni0020020106_0mpu7_cl.evt.gz	129142	69669bc6732011e1d22d906c0a96136e99a7c4afcd4603b0ea52447f9b982c52	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0020020106/xti/event_cl/ni0020020106_0mpu7_cl.evt.gz
2017_06	0010220104	ni0010220104_0mpu7_cl.evt.gz	129935	b035d92d6ecc2e39b1b72a10e0978c72f6d61133ca6dd69875769fa4e35e34b1	https://heasarc.gsfc.nasa.gov/FTP/nicer/data/obs/2017_06/0010220104/xti/event_cl/ni0010220104_0mpu7_cl.evt.gz
