ordinal	product_id	label_filename	payload_filename	label_url	payload_url	label_bytes	label_sha256	file_bytes	array_offset	array_bytes	lines	samples	data_type
1	zl0_0001_0667035647_000edr_n0010052aut_04096_0260lmj	ZL0_0001_0667035647_000EDR_N0010052AUT_04096_0260LMJ03.xml	ZL0_0001_0667035647_000EDR_N0010052AUT_04096_0260LMJ03.IMG	https://pds-imaging.jpl.nasa.gov/data/mars2020/mars2020_mastcamz_ops_raw/data/sol/00001/ids/edr/zcam/ZL0_0001_0667035647_000EDR_N0010052AUT_04096_0260LMJ03.xml	https://pds-imaging.jpl.nasa.gov/data/mars2020/mars2020_mastcamz_ops_raw/data/sol/00001/ids/edr/zcam/ZL0_0001_0667035647_000EDR_N0010052AUT_04096_0260LMJ03.IMG	55247	b8e1bc3b283909547423009b6ebc2b48e72d4461ed26644dbc04c1346b8c6279	3988160	32960	3955200	1200	1648	SignedMSB2
2	zl0_0001_0667035653_000edr_n0010052aut_04096_0260lmj	ZL0_0001_0667035653_000EDR_N0010052AUT_04096_0260LMJ03.xml	ZL0_0001_0667035653_000EDR_N0010052AUT_04096_0260LMJ03.IMG	https://pds-imaging.jpl.nasa.gov/data/mars2020/mars2020_mastcamz_ops_raw/data/sol/00001/ids/edr/zcam/ZL0_0001_0667035653_000EDR_N0010052AUT_04096_0260LMJ03.xml	https://pds-imaging.jpl.nasa.gov/data/mars2020/mars2020_mastcamz_ops_raw/data/sol/00001/ids/edr/zcam/ZL0_0001_0667035653_000EDR_N0010052AUT_04096_0260LMJ03.IMG	55248	de63115a1fa1f14b85a476af68b2977d1e2d84947e09b219862ac6be028ee692	3988160	32960	3955200	1200	1648	SignedMSB2
3	zl0_0001_0667035659_000edr_n0010052aut_04096_0260lmj	ZL0_0001_0667035659_000EDR_N0010052AUT_04096_0260LMJ03.xml	ZL0_0001_0667035659_000EDR_N0010052AUT_04096_0260LMJ03.IMG	https://pds-imaging.jpl.nasa.gov/data/mars2020/mars2020_mastcamz_ops_raw/data/sol/00001/ids/edr/zcam/ZL0_0001_0667035659_000EDR_N0010052AUT_04096_0260LMJ03.xml	https://pds-imaging.jpl.nasa.gov/data/mars2020/mars2020_mastcamz_ops_raw/data/sol/00001/ids/edr/zcam/ZL0_0001_0667035659_000EDR_N0010052AUT_04096_0260LMJ03.IMG	55262	eb1b515915787f38f70bf6ea8abdc7cc3ef42862020fb14f93178143f0c8e98d	3988160	32960	3955200	1200	1648	SignedMSB2
4	zl0_0001_0667035667_000edr_n0010052aut_04096_0260lmj	ZL0_0001_0667035667_000EDR_N0010052AUT_04096_0260LMJ03.xml	ZL0_0001_0667035667_000EDR_N0010052AUT_04096_0260LMJ03.IMG	https://pds-imaging.jpl.nasa.gov/data/mars2020/mars2020_mastcamz_ops_raw/data/sol/00001/ids/edr/zcam/ZL0_0001_0667035667_000EDR_N0010052AUT_04096_0260LMJ03.xml	https://pds-imaging.jpl.nasa.gov/data/mars2020/mars2020_mastcamz_ops_raw/data/sol/00001/ids/edr/zcam/ZL0_0001_0667035667_000EDR_N0010052AUT_04096_0260LMJ03.IMG	55262	f7847fd27077c4177c1e28ce968992d13414c2ca9ecb9c8caf07d5ce7894d2ff	3988160	32960	3955200	1200	1648	SignedMSB2
5	zl0_0001_0667035675_000edr_n0010052aut_04096_0260lmj	ZL0_0001_0667035675_000EDR_N0010052AUT_04096_0260LMJ03.xml	ZL0_0001_0667035675_000EDR_N0010052AUT_04096_0260LMJ03.IMG	https://pds-imaging.jpl.nasa.gov/data/mars2020/mars2020_mastcamz_ops_raw/data/sol/00001/ids/edr/zcam/ZL0_0001_0667035675_000EDR_N0010052AUT_04096_0260LMJ03.xml	https://pds-imaging.jpl.nasa.gov/data/mars2020/mars2020_mastcamz_ops_raw/data/sol/00001/ids/edr/zcam/ZL0_0001_0667035675_000EDR_N0010052AUT_04096_0260LMJ03.IMG	55262	5f4762afd194878ed5ddf135eb11ffae9c13f761138bf13481255fcc8600048a	3988160	32960	3955200	1200	1648	SignedMSB2
6	zl0_0001_0667035701_000edr_n0010052aut_04096_0260lmj	ZL0_0001_0667035701_000EDR_N0010052AUT_04096_0260LMJ03.xml	ZL0_0001_0667035701_000EDR_N0010052AUT_04096_0260LMJ03.IMG	https://pds-imaging.jpl.nasa.gov/data/mars2020/mars2020_mastcamz_ops_raw/data/sol/00001/ids/edr/zcam/ZL0_0001_0667035701_000EDR_N0010052AUT_04096_0260LMJ03.xml	https://pds-imaging.jpl.nasa.gov/data/mars2020/mars2020_mastcamz_ops_raw/data/sol/00001/ids/edr/zcam/ZL0_0001_0667035701_000EDR_N0010052AUT_04096_0260LMJ03.IMG	55265	44c33eb461d731183fa73af03cfa3cc47c2fb65ef8d57e56b7cf32180ce338b2	3988160	32960	3955200	1200	1648	SignedMSB2
7	zl0_0002_0667131112_000edr_n0010052aut_04096_0260luj	ZL0_0002_0667131112_000EDR_N0010052AUT_04096_0260LUJ03.xml	ZL0_0002_0667131112_000EDR_N0010052AUT_04096_0260LUJ03.IMG	https://pds-imaging.jpl.nasa.gov/data/mars2020/mars2020_mastcamz_ops_raw/data/sol/00002/ids/edr/zcam/ZL0_0002_0667131112_000EDR_N0010052AUT_04096_0260LUJ03.xml	https://pds-imaging.jpl.nasa.gov/data/mars2020/mars2020_mastcamz_ops_raw/data/sol/00002/ids/edr/zcam/ZL0_0002_0667131112_000EDR_N0010052AUT_04096_0260LUJ03.IMG	55155	cd9b317e3200959b1a87f10a7df66608e0c46d3601387c96e9a5170f6729b086	3988160	32960	3955200	1200	1648	SignedMSB2
8	zl0_0002_0667131195_000edr_n0010052aut_04096_0260luj	ZL0_0002_0667131195_000EDR_N0010052AUT_04096_0260LUJ03.xml	ZL0_0002_0667131195_000EDR_N0010052AUT_04096_0260LUJ03.IMG	https://pds-imaging.jpl.nasa.gov/data/mars2020/mars2020_mastcamz_ops_raw/data/sol/00002/ids/edr/zcam/ZL0_0002_0667131195_000EDR_N0010052AUT_04096_0260LUJ03.xml	https://pds-imaging.jpl.nasa.gov/data/mars2020/mars2020_mastcamz_ops_raw/data/sol/00002/ids/edr/zcam/ZL0_0002_0667131195_000EDR_N0010052AUT_04096_0260LUJ03.IMG	55164	36c3b5a79255726d5a440e5e4666588e4c6e2bcfd28aafd7e0a3e5ee5e408dc7	3988160	32960	3955200	1200	1648	SignedMSB2
9	zl0_0002_0667131328_646edr_n0010052zcam00012_0630luj	ZL0_0002_0667131328_646EDR_N0010052ZCAM00012_0630LUJ02.xml	ZL0_0002_0667131328_646EDR_N0010052ZCAM00012_0630LUJ02.IMG	https://pds-imaging.jpl.nasa.gov/data/mars2020/mars2020_mastcamz_ops_raw/data/sol/00002/ids/edr/zcam/ZL0_0002_0667131328_646EDR_N0010052ZCAM00012_0630LUJ02.xml	https://pds-imaging.jpl.nasa.gov/data/mars2020/mars2020_mastcamz_ops_raw/data/sol/00002/ids/edr/zcam/ZL0_0002_0667131328_646EDR_N0010052ZCAM00012_0630LUJ02.IMG	55171	2345f589216dc13a6e6516c7115a1f0993d42db68b17549a8b627e2654924790	3988160	32960	3955200	1200	1648	SignedMSB2
10	zl0_0002_0667131372_646edr_n0010052zcam00012_0630luj	ZL0_0002_0667131372_646EDR_N0010052ZCAM00012_0630LUJ02.xml	ZL0_0002_0667131372_646EDR_N0010052ZCAM00012_0630LUJ02.IMG	https://pds-imaging.jpl.nasa.gov/data/mars2020/mars2020_mastcamz_ops_raw/data/sol/00002/ids/edr/zcam/ZL0_0002_0667131372_646EDR_N0010052ZCAM00012_0630LUJ02.xml	https://pds-imaging.jpl.nasa.gov/data/mars2020/mars2020_mastcamz_ops_raw/data/sol/00002/ids/edr/zcam/ZL0_0002_0667131372_646EDR_N0010052ZCAM00012_0630LUJ02.IMG	55221	e2b16ddcffd9265f97d13d86ef6c197a2016b3b028a26462cea59c250416a4a3	3988160	32960	3955200	1200	1648	SignedMSB2
