dataset_id	status	reasons	series_id	role	numeric_kind	bit_width	samples	values_total	bytes_total	min_values	p10_values	p25_values	median_values	p75_values	p90_values	max_values	min_bytes	p10_bytes	p25_bytes	median_bytes	p75_bytes	p90_bytes	max_bytes	same_size_fraction	missing_files	first_sample_path
census_acs_pums_ca_person_2023_i64	ok		person_weight_i64	primary	int	64	1	392318	3138544	392318	392318	392318	392318	392318	392318	392318	3138544	3138544	3138544	3138544	3138544	3138544	3138544	1.000000	0	samples/census_acs_pums_ca_person_2023_i64/person_weight_i64/psam_p06_person_weight_i64_n00392318.bin
census_acs_pums_ca_person_2023_i64	ok		personal_income_i64	primary	int	64	1	334276	2674208	334276	334276	334276	334276	334276	334276	334276	2674208	2674208	2674208	2674208	2674208	2674208	2674208	1.000000	0	samples/census_acs_pums_ca_person_2023_i64/personal_income_i64/psam_p06_personal_income_i64_n00334276.bin
census_acs_pums_ca_person_2023_i64	ok		wage_income_i64	primary	int	64	1	334276	2674208	334276	334276	334276	334276	334276	334276	334276	2674208	2674208	2674208	2674208	2674208	2674208	2674208	1.000000	0	samples/census_acs_pums_ca_person_2023_i64/wage_income_i64/psam_p06_wage_income_i64_n00334276.bin
census_acs_pums_ca_person_2023_i64	ok		weeks_worked_i64	primary	int	64	1	204382	1635056	204382	204382	204382	204382	204382	204382	204382	1635056	1635056	1635056	1635056	1635056	1635056	1635056	1.000000	0	samples/census_acs_pums_ca_person_2023_i64/weeks_worked_i64/psam_p06_weeks_worked_i64_n00204382.bin
citibike_2024_01_trip_geocoords_f64	ok		end_latitude_f64	primary	float	64	2	1881996	15055968	885384	896506.8	913191	940998	968805	985489.2	996612	7083072	7172054.4	7305528	7527984	7750440	7883913.6	7972896	0.500000	0	samples/citibike_2024_01_trip_geocoords_f64/end_latitude_f64/202401_citibike_tripdata_1_end_latitude_f64_n00996612.bin
citibike_2024_01_trip_geocoords_f64	ok		end_longitude_f64	primary	float	64	2	1881996	15055968	885384	896506.8	913191	940998	968805	985489.2	996612	7083072	7172054.4	7305528	7527984	7750440	7883913.6	7972896	0.500000	0	samples/citibike_2024_01_trip_geocoords_f64/end_longitude_f64/202401_citibike_tripdata_1_end_longitude_f64_n00996612.bin
citibike_2024_01_trip_geocoords_f64	ok		start_latitude_f64	primary	float	64	2	1881996	15055968	885384	896506.8	913191	940998	968805	985489.2	996612	7083072	7172054.4	7305528	7527984	7750440	7883913.6	7972896	0.500000	0	samples/citibike_2024_01_trip_geocoords_f64/start_latitude_f64/202401_citibike_tripdata_1_start_latitude_f64_n00996612.bin
citibike_2024_01_trip_geocoords_f64	ok		start_longitude_f64	primary	float	64	2	1881996	15055968	885384	896506.8	913191	940998	968805	985489.2	996612	7083072	7172054.4	7305528	7527984	7750440	7883913.6	7972896	0.500000	0	samples/citibike_2024_01_trip_geocoords_f64/start_longitude_f64/202401_citibike_tripdata_1_start_longitude_f64_n00996612.bin
sec_fsd_2024q1_q4_numeric_values_i64	ok		shares_value_i64	primary	int	64	4	972821	7782568	216070	222934.3	233230.8	243264	253238.5	263429.2	270223	1728560	1783474.4	1865846	1946112	2025908	2107433.6	2161784	0.250000	0	samples/sec_fsd_2024q1_q4_numeric_values_i64/shares_value_i64/2024q1_num_shares_value_i64_n00216070.bin
sec_fsd_2024q1_q4_numeric_values_i64	ok		usd_value_i64	primary	int	64	4	10835286	86682288	2487810	2548739.1	2640132.8	2727672	2796360.8	2853823.5	2892132	19902480	20389912.8	21121062	21821376	22370886	22830588	23137056	0.250000	0	samples/sec_fsd_2024q1_q4_numeric_values_i64/usd_value_i64/2024q1_num_usd_value_i64_n02690907.bin
