dataset_id	status	primary_values	primary_sample_bytes	primary_sample_rows	median_primary_sample_value_count	median_primary_sample_size_bytes	auxiliary_values	auxiliary_sample_bytes	auxiliary_sample_rows	has_index	inferred_auxiliary_series	failure_reasons
jhu_covid19_confirmed_global_daily	ok	10287	41148	9	1143	4572	0	0	0	1	none	none
jhu_covid19_deaths_global_daily	ok	10287	41148	9	1143	4572	0	0	0	1	none	none
jhu_covid19_deaths_us_daily	ok	10287	41148	9	1143	4572	0	0	0	1	none	none
met_biocollection_objects	ok	12281	49124	1	12281	49124	0	0	0	1	none	none
coinpaprika_tickers	ok	14000	112000	7	2000	16000	2000	4000	1	1	none	none
binance_ticker_24hr	ok	14376	71880	4	3594	14376	7188	43128	2	1	none	none
ourworldindata_energy_mix	ok	19137	76548	3	6379	25516	0	0	0	1	none	none
internetarchive_advancedsearch	ok	20000	120000	2	10000	60000	0	0	0	1	none	none
nasa_eonet_events	ok	20115	73755	3	6705	13410	0	0	0	1	none	none
nasa_donki_flr	ok	22484	89936	7	3212	12848	0	0	0	1	none	none
openflights_airports	ok	23094	153960	3	7698	61584	0	0	0	1	none	none
usgs_fdsn_events_large	ok	28264	84792	2	14132	42396	56528	183716	4	1	none	none
nvd_cpe_match_feed	ok	30000	100000	3	10000	40000	0	0	0	1	none	none
eia_petroleum_barrel_prices	ok	33764	270112	16	1339	10712	0	0	0	1	none	none
arxiv_cs_lg_2024q1_metadata	ok	38360	115080	4	9590	28770	0	0	0	1	none	none
nasa_donki_cme	ok	41650	166600	5	8330	33320	0	0	0	1	none	none
opensky_states	ok	44580	178320	5	8536	34144	0	0	0	1	none	none
kegg_hsa_genes	ok	48504	194016	2	24252	97008	48504	121260	2	1	none	none
openfda_device_event	ok	50000	140000	5	10000	20000	0	0	0	1	none	none
huggingface_models_large	ok	50000	200000	10	4942	19768	0	0	0	1	none	none
who_atlas_gisah	ok	50428	403424	1	50428	403424	201712	403424	4	1	none	none
universities_domains_list	ok	51245	71743	5	10249	10249	0	0	0	1	none	none
uci_steel_plates_faults_features_f64	ok	52407	419256	27	1941	15528	0	0	0	1	none	none
rhea_reactions	ok	55029	128401	3	18343	36686	0	0	0	1	none	none
osf_preprints	ok	59997	239988	3	19999	79996	0	0	0	1	none	none
ooni_measurements	ok	60000	240000	3	20000	80000	0	0	0	1	none	none
anilist_media	ok	64534	172603	30	2288	5151	0	0	0	1	none	none
scryfall_default_cards	ok	65272	180931	29	2205	5268	0	0	0	1	none	none
library_of_congress_items	ok	66380	264316	5	15000	60000	0	0	0	1	none	none
usgs_quakes_month	ok	68900	374024	7	9842	39376	0	0	0	1	none	none
gleif_lei_records	ok	69797	219362	7	9971	39884	0	0	0	1	none	none
medrxiv_details	ok	77615	186276	5	15523	31046	15523	62092	1	1	none	none
uci_wine_quality	ok	77964	623712	24	3248.5	25988	0	0	0	1	none	none
crossref_members	ok	79572	318288	39	1839	7356	0	0	0	1	none	none
metmuseum_object_ids_large	ok	80220	320880	1	80220	320880	0	0	0	1	none	none
geonames_postal_fixed	ok	82980	663840	2	41490	331920	124470	290430	3	1	none	none
open_meteo_hourly_apparent_temperature	ok	87600	350400	5	17520	70080	0	0	0	1	none	none
open_meteo_hourly_cloud_cover	ok	87600	350400	5	17520	70080	0	0	0	1	none	none
open_meteo_hourly_dew_point	ok	87600	350400	5	17520	70080	0	0	0	1	none	none
open_meteo_hourly_diffuse_radiation	ok	87600	350400	5	17520	70080	0	0	0	1	none	none
open_meteo_hourly_direct_radiation	ok	87600	350400	5	17520	70080	0	0	0	1	none	none
open_meteo_hourly_precipitation	ok	87600	350400	5	17520	70080	0	0	0	1	none	none
open_meteo_hourly_pressure_msl	ok	87600	350400	5	17520	70080	0	0	0	1	none	none
open_meteo_hourly_relative_humidity	ok	87600	350400	5	17520	70080	0	0	0	1	none	none
open_meteo_hourly_shortwave_radiation	ok	87600	350400	5	17520	70080	0	0	0	1	none	none
open_meteo_hourly_surface_pressure	ok	87600	350400	5	17520	70080	0	0	0	1	none	none
open_meteo_hourly_temperature	ok	87600	350400	5	17520	70080	0	0	0	1	none	none
open_meteo_hourly_vapour_pressure_deficit	ok	87600	350400	5	17520	70080	0	0	0	1	none	none
open_meteo_hourly_wind	ok	87600	350400	5	17520	70080	0	0	0	1	none	none
owid_co2_source_emissions_annual_f32	ok	90856	363424	5	18115	72460	0	0	0	1	none	none
eia_series_petroleum	ok	91395	731160	11	9107	72856	91395	365580	11	1	none	none
nomis_employment	ok	92145	221148	5	18429	36858	0	0	0	1	none	none
gbif_occurrence_2024_coordinate_sample	ok	95952	527736	8	11994	47976	0	0	0	1	none	none
noaa_ghcn_daily_wesd_by_station	ok	102494	204988	24	5845	11690	0	0	0	1	none	none
worldclim_tavg_10m	ok	103680	414720	6	17280	69120	0	0	0	1	none	none
physionet_mitbih_annotation_codes_u8	ok	112647	112647	48	2299	2299	0	0	0	1	none	none
taginfo_tags_popular	ok	113896	911168	8	14237	113896	28474	42711	2	1	none	none
figshare_articles_large	ok	119994	679966	6	19999	119994	0	0	0	1	none	none
openml_runs_large	ok	120000	560000	6	20000	80000	0	0	0	1	none	none
noaa_ghcn_daily_tavg_by_station	ok	121079	242158	59	2588	5176	0	0	0	1	none	none
noaa_ghcn_daily_tsun_by_station	ok	133376	266752	16	11347.5	22695	0	0	0	1	none	none
bike_sharing_uci	ok	139032	399717	8	17379	52137	0	0	0	1	none	none
fred_treasury_yields_daily_bundle	ok	142482	569928	11	13865	55460	0	0	0	1	none	none
weathergov_stations	ok	146184	974560	3	48728	389824	0	0	0	1	none	none
seismic_waveform_i32	ok	168000	672000	12	12000	48000	0	0	0	1	none	none
usgs_sitefile_all_large	ok	180808	1446464	2	90404	723232	271212	1627272	3	1	none	none
magic_gamma_telescope_event_features_f64	ok	190200	1521600	10	19020	152160	0	0	0	1	none	none
openml_tasks_large	ok	197900	752020	10	19790	79160	0	0	0	1	none	none
movielens_latest_small	ok	201672	806688	2	100836	403344	0	0	0	1	none	none
usgs_nwis_ph_daily	ok	202184	1617472	36	4561.5	36492	0	0	0	1	none	none
gutendex_catalog_books	ok	203883	565180	3	62588	125176	78707	314828	1	1	none	none
geonames_cities5000	ok	206700	1378000	3	68900	551200	0	0	0	1	none	none
nasa_techport_projects	ok	227414	413480	11	20674	20674	0	0	0	1	none	none
silso_sunspot_activity_indices_f32	ok	230296	921184	6	38117.5	152470	0	0	0	1	none	none
statlog_landsat_satellite_u8	ok	231660	231660	8	28957.5	28957.5	0	0	0	1	none	none
ourairports_airports	ok	241771	1651444	3	85545	684360	0	0	0	1	none	none
nvd_cves_recent	ok	244224	651264	6	40704	81408	0	0	0	1	none	none
usgs_nwis_gage_height_daily	ok	262068	2096544	30	8843.5	70748	0	0	0	1	none	none
gwosc_event_strain_f32	ok	262144	1048576	2	131072	524288	0	0	0	1	none	none
noaa_ghcn_daily_wsfg_by_station	ok	266478	532956	33	8055	16110	0	0	0	1	none	none
nyc_311_descriptor_u16	ok	287186	574372	3	100000	200000	0	0	0	1	none	none
uniprot_protein_sizes	ok	294084	882252	74	2048	6834	0	0	0	1	none	none
jpl_close_approaches	ok	297934	2383472	7	42562	340496	0	0	0	1	none	none
gbif_datasets	ok	300000	1200000	3	100000	200000	0	0	0	1	none	none
