dataset_id	status	reasons	series_id	role	numeric_kind	bit_width	samples	values_total	bytes_total	min_values	p10_values	p25_values	median_values	p75_values	p90_values	max_values	min_bytes	p10_bytes	p25_bytes	median_bytes	p75_bytes	p90_bytes	max_bytes	same_size_fraction	missing_files	first_sample_path
macrostrat_columns	ok		macrostrat_column_area_f32	primary	float	32	1	3462	13848	3462	3462	3462	3462	3462	3462	3462	13848	13848	13848	13848	13848	13848	13848	1.000000	0	samples/macrostrat_columns/macrostrat_column_area_f32/macrostrat_column_area_f32_n00003462.bin
macrostrat_columns	ok		macrostrat_column_b_age_f32	primary	float	32	1	3461	13844	3461	3461	3461	3461	3461	3461	3461	13844	13844	13844	13844	13844	13844	13844	1.000000	0	samples/macrostrat_columns/macrostrat_column_b_age_f32/macrostrat_column_b_age_f32_n00003461.bin
macrostrat_columns	ok		macrostrat_column_max_min_thick_f32	primary	float	32	1	3462	13848	3462	3462	3462	3462	3462	3462	3462	13848	13848	13848	13848	13848	13848	13848	1.000000	0	samples/macrostrat_columns/macrostrat_column_max_min_thick_f32/macrostrat_column_max_min_thick_f32_n00003462.bin
macrostrat_columns	ok		macrostrat_column_max_thick_f32	primary	float	32	1	3462	13848	3462	3462	3462	3462	3462	3462	3462	13848	13848	13848	13848	13848	13848	13848	1.000000	0	samples/macrostrat_columns/macrostrat_column_max_thick_f32/macrostrat_column_max_thick_f32_n00003462.bin
macrostrat_columns	ok		macrostrat_column_min_min_thick_f32	primary	float	32	1	3462	13848	3462	3462	3462	3462	3462	3462	3462	13848	13848	13848	13848	13848	13848	13848	1.000000	0	samples/macrostrat_columns/macrostrat_column_min_min_thick_f32/macrostrat_column_min_min_thick_f32_n00003462.bin
macrostrat_columns	ok		macrostrat_column_pbdb_collections_u32	primary	uint	32	1	3462	13848	3462	3462	3462	3462	3462	3462	3462	13848	13848	13848	13848	13848	13848	13848	1.000000	0	samples/macrostrat_columns/macrostrat_column_pbdb_collections_u32/macrostrat_column_pbdb_collections_u32_n00003462.bin
macrostrat_columns	ok		macrostrat_column_section_count_u32	primary	uint	32	1	3462	13848	3462	3462	3462	3462	3462	3462	3462	13848	13848	13848	13848	13848	13848	13848	1.000000	0	samples/macrostrat_columns/macrostrat_column_section_count_u32/macrostrat_column_section_count_u32_n00003462.bin
macrostrat_columns	ok		macrostrat_column_t_age_f32	primary	float	32	1	3460	13840	3460	3460	3460	3460	3460	3460	3460	13840	13840	13840	13840	13840	13840	13840	1.000000	0	samples/macrostrat_columns/macrostrat_column_t_age_f32/macrostrat_column_t_age_f32_n00003460.bin
macrostrat_columns	ok		macrostrat_column_unit_count_u32	primary	uint	32	1	3462	13848	3462	3462	3462	3462	3462	3462	3462	13848	13848	13848	13848	13848	13848	13848	1.000000	0	samples/macrostrat_columns/macrostrat_column_unit_count_u32/macrostrat_column_unit_count_u32_n00003462.bin
macrostrat_sections	ok		macrostrat_section_area_f32	primary	float	32	1	11315	45260	11315	11315	11315	11315	11315	11315	11315	45260	45260	45260	45260	45260	45260	45260	1.000000	0	samples/macrostrat_sections/macrostrat_section_area_f32/macrostrat_section_area_f32_n00011315.bin
macrostrat_sections	ok		macrostrat_section_b_age_f32	primary	float	32	1	11313	45252	11313	11313	11313	11313	11313	11313	11313	45252	45252	45252	45252	45252	45252	45252	1.000000	0	samples/macrostrat_sections/macrostrat_section_b_age_f32/macrostrat_section_b_age_f32_n00011313.bin
macrostrat_sections	ok		macrostrat_section_max_thick_f32	primary	float	32	1	11315	45260	11315	11315	11315	11315	11315	11315	11315	45260	45260	45260	45260	45260	45260	45260	1.000000	0	samples/macrostrat_sections/macrostrat_section_max_thick_f32/macrostrat_section_max_thick_f32_n00011315.bin
macrostrat_sections	ok		macrostrat_section_min_thick_f32	primary	float	32	1	11315	45260	11315	11315	11315	11315	11315	11315	11315	45260	45260	45260	45260	45260	45260	45260	1.000000	0	samples/macrostrat_sections/macrostrat_section_min_thick_f32/macrostrat_section_min_thick_f32_n00011315.bin
macrostrat_sections	ok		macrostrat_section_pbdb_collections_u32	primary	uint	32	1	11315	45260	11315	11315	11315	11315	11315	11315	11315	45260	45260	45260	45260	45260	45260	45260	1.000000	0	samples/macrostrat_sections/macrostrat_section_pbdb_collections_u32/macrostrat_section_pbdb_collections_u32_n00011315.bin
macrostrat_sections	ok		macrostrat_section_t_age_f32	primary	float	32	1	11312	45248	11312	11312	11312	11312	11312	11312	11312	45248	45248	45248	45248	45248	45248	45248	1.000000	0	samples/macrostrat_sections/macrostrat_section_t_age_f32/macrostrat_section_t_age_f32_n00011312.bin
