dataset_id	status	reasons	series_id	role	numeric_kind	bit_width	samples	values_total	bytes_total	min_values	p10_values	p25_values	median_values	p75_values	p90_values	max_values	min_bytes	p10_bytes	p25_bytes	median_bytes	p75_bytes	p90_bytes	max_bytes	same_size_fraction	missing_files	first_sample_path
magic_gamma_telescope_event_features_f64	ok		magic_gamma_falpha_f64	primary	float	64	1	19020	152160	19020	19020	19020	19020	19020	19020	19020	152160	152160	152160	152160	152160	152160	152160	1.000000	0	samples/magic_gamma_telescope_event_features_f64/magic_gamma_falpha_f64/magic_gamma_falpha_f64_n019020.bin
magic_gamma_telescope_event_features_f64	ok		magic_gamma_fasym_f64	primary	float	64	1	19020	152160	19020	19020	19020	19020	19020	19020	19020	152160	152160	152160	152160	152160	152160	152160	1.000000	0	samples/magic_gamma_telescope_event_features_f64/magic_gamma_fasym_f64/magic_gamma_fasym_f64_n019020.bin
magic_gamma_telescope_event_features_f64	ok		magic_gamma_fconc1_f64	primary	float	64	1	19020	152160	19020	19020	19020	19020	19020	19020	19020	152160	152160	152160	152160	152160	152160	152160	1.000000	0	samples/magic_gamma_telescope_event_features_f64/magic_gamma_fconc1_f64/magic_gamma_fconc1_f64_n019020.bin
magic_gamma_telescope_event_features_f64	ok		magic_gamma_fconc_f64	primary	float	64	1	19020	152160	19020	19020	19020	19020	19020	19020	19020	152160	152160	152160	152160	152160	152160	152160	1.000000	0	samples/magic_gamma_telescope_event_features_f64/magic_gamma_fconc_f64/magic_gamma_fconc_f64_n019020.bin
magic_gamma_telescope_event_features_f64	ok		magic_gamma_fdist_f64	primary	float	64	1	19020	152160	19020	19020	19020	19020	19020	19020	19020	152160	152160	152160	152160	152160	152160	152160	1.000000	0	samples/magic_gamma_telescope_event_features_f64/magic_gamma_fdist_f64/magic_gamma_fdist_f64_n019020.bin
magic_gamma_telescope_event_features_f64	ok		magic_gamma_flength_f64	primary	float	64	1	19020	152160	19020	19020	19020	19020	19020	19020	19020	152160	152160	152160	152160	152160	152160	152160	1.000000	0	samples/magic_gamma_telescope_event_features_f64/magic_gamma_flength_f64/magic_gamma_flength_f64_n019020.bin
magic_gamma_telescope_event_features_f64	ok		magic_gamma_fm3long_f64	primary	float	64	1	19020	152160	19020	19020	19020	19020	19020	19020	19020	152160	152160	152160	152160	152160	152160	152160	1.000000	0	samples/magic_gamma_telescope_event_features_f64/magic_gamma_fm3long_f64/magic_gamma_fm3long_f64_n019020.bin
magic_gamma_telescope_event_features_f64	ok		magic_gamma_fm3trans_f64	primary	float	64	1	19020	152160	19020	19020	19020	19020	19020	19020	19020	152160	152160	152160	152160	152160	152160	152160	1.000000	0	samples/magic_gamma_telescope_event_features_f64/magic_gamma_fm3trans_f64/magic_gamma_fm3trans_f64_n019020.bin
magic_gamma_telescope_event_features_f64	ok		magic_gamma_fsize_f64	primary	float	64	1	19020	152160	19020	19020	19020	19020	19020	19020	19020	152160	152160	152160	152160	152160	152160	152160	1.000000	0	samples/magic_gamma_telescope_event_features_f64/magic_gamma_fsize_f64/magic_gamma_fsize_f64_n019020.bin
magic_gamma_telescope_event_features_f64	ok		magic_gamma_fwidth_f64	primary	float	64	1	19020	152160	19020	19020	19020	19020	19020	19020	19020	152160	152160	152160	152160	152160	152160	152160	1.000000	0	samples/magic_gamma_telescope_event_features_f64/magic_gamma_fwidth_f64/magic_gamma_fwidth_f64_n019020.bin
