dataset_id	status	reasons	series_id	role	numeric_kind	bit_width	samples	values_total	bytes_total	min_values	p10_values	p25_values	median_values	p75_values	p90_values	max_values	min_bytes	p10_bytes	p25_bytes	median_bytes	p75_bytes	p90_bytes	max_bytes	same_size_fraction	missing_files	first_sample_path
openalex_works_2024_sample	ok		openalex_authorship_count	primary	uint	16	1	20000	40000	20000	20000	20000	20000	20000	20000	20000	40000	40000	40000	40000	40000	40000	40000	1.000000	0	samples/openalex_works_2024_sample/openalex_authorship_count/openalex_authorship_count_uint16_n020000.bin
openalex_works_2024_sample	ok		openalex_awards_count	primary	uint	16	1	20000	40000	20000	20000	20000	20000	20000	20000	20000	40000	40000	40000	40000	40000	40000	40000	1.000000	0	samples/openalex_works_2024_sample/openalex_awards_count/openalex_awards_count_uint16_n020000.bin
openalex_works_2024_sample	ok		openalex_citation_normalized_percentile	primary	float	32	1	20000	80000	20000	20000	20000	20000	20000	20000	20000	80000	80000	80000	80000	80000	80000	80000	1.000000	0	samples/openalex_works_2024_sample/openalex_citation_normalized_percentile/openalex_citation_normalized_percentile_float32_n020000.bin
openalex_works_2024_sample	ok		openalex_citation_top_10_percent	primary	uint	8	1	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	1.000000	0	samples/openalex_works_2024_sample/openalex_citation_top_10_percent/openalex_citation_top_10_percent_uint8_n020000.bin
openalex_works_2024_sample	ok		openalex_citation_top_1_percent	primary	uint	8	1	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	1.000000	0	samples/openalex_works_2024_sample/openalex_citation_top_1_percent/openalex_citation_top_1_percent_uint8_n020000.bin
openalex_works_2024_sample	ok		openalex_cited_by_count	primary	uint	32	1	20000	80000	20000	20000	20000	20000	20000	20000	20000	80000	80000	80000	80000	80000	80000	80000	1.000000	0	samples/openalex_works_2024_sample/openalex_cited_by_count/openalex_cited_by_count_uint32_n020000.bin
openalex_works_2024_sample	ok		openalex_cited_by_percentile_year_min	primary	uint	16	1	20000	40000	20000	20000	20000	20000	20000	20000	20000	40000	40000	40000	40000	40000	40000	40000	1.000000	0	samples/openalex_works_2024_sample/openalex_cited_by_percentile_year_min/openalex_cited_by_percentile_year_min_uint16_n020000.bin
openalex_works_2024_sample	ok		openalex_countries_distinct_count	primary	uint	16	1	20000	40000	20000	20000	20000	20000	20000	20000	20000	40000	40000	40000	40000	40000	40000	40000	1.000000	0	samples/openalex_works_2024_sample/openalex_countries_distinct_count/openalex_countries_distinct_count_uint16_n020000.bin
openalex_works_2024_sample	ok		openalex_counts_by_year_count	primary	uint	16	1	20000	40000	20000	20000	20000	20000	20000	20000	20000	40000	40000	40000	40000	40000	40000	40000	1.000000	0	samples/openalex_works_2024_sample/openalex_counts_by_year_count/openalex_counts_by_year_count_uint16_n020000.bin
openalex_works_2024_sample	ok		openalex_created_at	primary	uint	32	1	20000	80000	20000	20000	20000	20000	20000	20000	20000	80000	80000	80000	80000	80000	80000	80000	1.000000	0	samples/openalex_works_2024_sample/openalex_created_at/openalex_created_at_uint32_n020000.bin
