dataset_id	status	reasons	series_id	role	numeric_kind	bit_width	samples	values_total	bytes_total	min_values	p10_values	p25_values	median_values	p75_values	p90_values	max_values	min_bytes	p10_bytes	p25_bytes	median_bytes	p75_bytes	p90_bytes	max_bytes	same_size_fraction	missing_files	first_sample_path
ena_runs_portal	needs_attention	value_floor,byte_floor,median_sample_floor	ena_base_count_u64	primary	uint	64	1	500	4000	500	500	500	500	500	500	500	4000	4000	4000	4000	4000	4000	4000	1.000000	0	/home/cyan/dev/openzl/public_datasets_collection/.data/samples/ena_runs_portal/ena_base_count_u64/matches.bin
ena_runs_portal	needs_attention	value_floor,byte_floor,median_sample_floor	ena_collection_date_length_u8	primary	uint	8	1	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	1.000000	0	/home/cyan/dev/openzl/public_datasets_collection/.data/samples/ena_runs_portal/ena_collection_date_length_u8/matches.bin
ena_runs_portal	needs_attention	value_floor,byte_floor,median_sample_floor	ena_country_length_u8	primary	uint	8	1	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	1.000000	0	/home/cyan/dev/openzl/public_datasets_collection/.data/samples/ena_runs_portal/ena_country_length_u8/matches.bin
ena_runs_portal	needs_attention	value_floor,byte_floor,median_sample_floor	ena_read_count_u32	primary	uint	32	1	500	2000	500	500	500	500	500	500	500	2000	2000	2000	2000	2000	2000	2000	1.000000	0	/home/cyan/dev/openzl/public_datasets_collection/.data/samples/ena_runs_portal/ena_read_count_u32/matches.bin
ena_runs_portal	needs_attention	value_floor,byte_floor,median_sample_floor	ena_run_accession_length_u16	primary	uint	16	1	500	1000	500	500	500	500	500	500	500	1000	1000	1000	1000	1000	1000	1000	1.000000	0	/home/cyan/dev/openzl/public_datasets_collection/.data/samples/ena_runs_portal/ena_run_accession_length_u16/matches.bin
ena_runs_portal	needs_attention	value_floor,byte_floor,median_sample_floor	ena_scientific_name_length_u16	primary	uint	16	1	500	1000	500	500	500	500	500	500	500	1000	1000	1000	1000	1000	1000	1000	1.000000	0	/home/cyan/dev/openzl/public_datasets_collection/.data/samples/ena_runs_portal/ena_scientific_name_length_u16/matches.bin
sec_companyfacts_core_financials_quarterly	needs_attention	value_floor,byte_floor,median_sample_floor	assets_i64	primary	int	64	5	227	1816	32	36	42	51	51	51	51	256	288	336	408	408	408	408	0.600000	0	samples/sec_companyfacts_core_financials_quarterly/assets_i64/alphabet_inc_0001652044.bin
sec_companyfacts_core_financials_quarterly	needs_attention	value_floor,byte_floor,median_sample_floor	cash_and_equivalents_i64	primary	int	64	5	227	1816	32	36	42	51	51	51	51	256	288	336	408	408	408	408	0.600000	0	samples/sec_companyfacts_core_financials_quarterly/cash_and_equivalents_i64/alphabet_inc_0001652044.bin
sec_companyfacts_core_financials_quarterly	needs_attention	value_floor,byte_floor,median_sample_floor	net_income_i64	primary	int	64	5	227	1816	32	36	42	51	51	51	51	256	288	336	408	408	408	408	0.600000	0	samples/sec_companyfacts_core_financials_quarterly/net_income_i64/alphabet_inc_0001652044.bin
sec_companyfacts_core_financials_quarterly	needs_attention	value_floor,byte_floor,median_sample_floor	operating_income_i64	primary	int	64	5	227	1816	32	36	42	51	51	51	51	256	288	336	408	408	408	408	0.600000	0	samples/sec_companyfacts_core_financials_quarterly/operating_income_i64/alphabet_inc_0001652044.bin
sec_companyfacts_core_financials_quarterly	needs_attention	value_floor,byte_floor,median_sample_floor	stockholders_equity_i64	primary	int	64	5	227	1816	32	36	42	51	51	51	51	256	288	336	408	408	408	408	0.600000	0	samples/sec_companyfacts_core_financials_quarterly/stockholders_equity_i64/alphabet_inc_0001652044.bin
sec_submissions_nvda	needs_attention	value_floor,byte_floor	sec_nvda_acceptance_timestamp	primary	uint	64	1	1002	8016	1002	1002	1002	1002	1002	1002	1002	8016	8016	8016	8016	8016	8016	8016	1.000000	0	samples/sec_submissions_nvda/sec_nvda_acceptance_timestamp/nvda.bin
sec_submissions_nvda	needs_attention	value_floor,byte_floor	sec_nvda_filing_day	primary	uint	8	1	1002	1002	1002	1002	1002	1002	1002	1002	1002	1002	1002	1002	1002	1002	1002	1002	1.000000	0	samples/sec_submissions_nvda/sec_nvda_filing_day/nvda.bin
sec_submissions_nvda	needs_attention	value_floor,byte_floor	sec_nvda_filing_month	primary	uint	8	1	1002	1002	1002	1002	1002	1002	1002	1002	1002	1002	1002	1002	1002	1002	1002	1002	1.000000	0	samples/sec_submissions_nvda/sec_nvda_filing_month/nvda.bin
sec_submissions_nvda	needs_attention	value_floor,byte_floor	sec_nvda_filing_year	primary	uint	16	1	1002	2004	1002	1002	1002	1002	1002	1002	1002	2004	2004	2004	2004	2004	2004	2004	1.000000	0	samples/sec_submissions_nvda/sec_nvda_filing_year/nvda.bin
sec_submissions_nvda	needs_attention	value_floor,byte_floor	sec_nvda_submission_size	primary	uint	32	1	1002	4008	1002	1002	1002	1002	1002	1002	1002	4008	4008	4008	4008	4008	4008	4008	1.000000	0	samples/sec_submissions_nvda/sec_nvda_submission_size/nvda.bin
sec_submissions_tsla	needs_attention	value_floor,byte_floor	sec_tsla_acceptance_timestamp	primary	uint	64	1	1001	8008	1001	1001	1001	1001	1001	1001	1001	8008	8008	8008	8008	8008	8008	8008	1.000000	0	samples/sec_submissions_tsla/sec_tsla_acceptance_timestamp/tsla.bin
sec_submissions_tsla	needs_attention	value_floor,byte_floor	sec_tsla_filing_day	primary	uint	8	1	1001	1001	1001	1001	1001	1001	1001	1001	1001	1001	1001	1001	1001	1001	1001	1001	1.000000	0	samples/sec_submissions_tsla/sec_tsla_filing_day/tsla.bin
sec_submissions_tsla	needs_attention	value_floor,byte_floor	sec_tsla_filing_month	primary	uint	8	1	1001	1001	1001	1001	1001	1001	1001	1001	1001	1001	1001	1001	1001	1001	1001	1001	1.000000	0	samples/sec_submissions_tsla/sec_tsla_filing_month/tsla.bin
sec_submissions_tsla	needs_attention	value_floor,byte_floor	sec_tsla_filing_year	primary	uint	16	1	1001	2002	1001	1001	1001	1001	1001	1001	1001	2002	2002	2002	2002	2002	2002	2002	1.000000	0	samples/sec_submissions_tsla/sec_tsla_filing_year/tsla.bin
sec_submissions_tsla	needs_attention	value_floor,byte_floor	sec_tsla_submission_size	primary	uint	32	1	1001	4004	1001	1001	1001	1001	1001	1001	1001	4004	4004	4004	4004	4004	4004	4004	1.000000	0	samples/sec_submissions_tsla/sec_tsla_submission_size/tsla.bin
usgs_water_current	ok		usgs_water_current_day_u8	primary	uint	8	1	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	1.000000	0	/home/cyan/dev/openzl/public_datasets_collection/.data/samples/usgs_water_current/usgs_water_current_day_u8/matches.bin
usgs_water_current	ok		usgs_water_current_hour_u8	primary	uint	8	1	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	1.000000	0	/home/cyan/dev/openzl/public_datasets_collection/.data/samples/usgs_water_current/usgs_water_current_hour_u8/matches.bin
usgs_water_current	ok		usgs_water_current_minute_u8	primary	uint	8	1	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	1.000000	0	/home/cyan/dev/openzl/public_datasets_collection/.data/samples/usgs_water_current/usgs_water_current_minute_u8/matches.bin
usgs_water_current	ok		usgs_water_current_month_u8	primary	uint	8	1	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	8625	1.000000	0	/home/cyan/dev/openzl/public_datasets_collection/.data/samples/usgs_water_current/usgs_water_current_month_u8/matches.bin
